	score
9606.ENSP00000332116	0.0012615656399912955
9606.ENSP00000270474	0.0012421434551766343
9606.ENSP00000365243	0.0012292238299888938
9606.ENSP00000354876	0.0012216237510341895
9606.ENSP00000352900	0.0012150491327314952
9606.ENSP00000343925	0.0012140152621988737
9606.ENSP00000346173	0.0012089877549980425
9606.ENSP00000431245	0.0012074563723490019
9606.ENSP00000264424	0.001203276655199223
9606.ENSP00000296518	0.0012029262858692285
9606.ENSP00000303830	0.0012005301180712784
9606.ENSP00000452762	0.0011821552376548635
9606.ENSP00000363812	0.0011769664229972555
9606.ENSP00000258743	0.001162564946966807
9606.ENSP00000357470	0.0011577204875414136
9606.ENSP00000287490	0.0011508104536285518
9606.ENSP00000309591	0.0011425017063796223
9606.ENSP00000298472	0.0011204320780418098
9606.ENSP00000356438	0.0011144867383474865
9606.ENSP00000364699	0.0011056630700164065
9606.ENSP00000356953	0.0010959371444683895
9606.ENSP00000308610	0.0010950086396216076
9606.ENSP00000277010	0.0010731561723096167
9606.ENSP00000396915	0.0010578394223860431
9606.ENSP00000367309	0.0010429774969593394
9606.ENSP00000359719	0.0010367908340305713
9606.ENSP00000314649	0.001030865358680287
9606.ENSP00000366488	0.0010287225764660803
9606.ENSP00000326031	0.0010222329702725523
9606.ENSP00000296122	0.001020504764913828
9606.ENSP00000276198	0.001020045820859229
9606.ENSP00000353731	0.0010147003553276292
9606.ENSP00000322460	0.0009869719001068882
9606.ENSP00000335084	0.0009835631131617367
9606.ENSP00000381412	0.0009489402651038302
9606.ENSP00000319060	0.0009473797466328853
9606.ENSP00000366233	0.0009450821821996631
9606.ENSP00000379098	0.0009412453942433875
9606.ENSP00000417748	0.0009316887918076874
9606.ENSP00000339740	0.000929204955616614
9606.ENSP00000352219	0.000917134080734511
9606.ENSP00000320646	0.0009074561159999555
9606.ENSP00000334448	0.000907394440953805
9606.ENSP00000016171	0.0008785404103482622
9606.ENSP00000279593	0.000874526873208128
9606.ENSP00000405963	0.0008528481812226928
9606.ENSP00000262848	0.0008431304070817939
9606.ENSP00000221138	0.0007975631310512442
9606.ENSP00000324804	0.0007864521199718075
9606.ENSP00000264977	0.0007841345071282395
9606.ENSP00000335083	0.0007646361151470894
9606.ENSP00000355533	0.0007626960160542095
9606.ENSP00000299333	0.0007611120921941489
9606.ENSP00000261751	0.0007561531756017252
9606.ENSP00000315602	0.0007560002623440061
9606.ENSP00000276410	0.0007548180808319321
9606.ENSP00000260600	0.0007544406559890519
9606.ENSP00000385026	0.0007443764736815769
9606.ENSP00000289957	0.0007440500089469382
9606.ENSP00000284981	0.0007438263132011878
9606.ENSP00000278947	0.0007426547024495399
9606.ENSP00000258385	0.000730073375555063
9606.ENSP00000358867	0.0007279430967384915
9606.ENSP00000299565	0.0007262084018195345
9606.ENSP00000412324	0.0007204477844910027
9606.ENSP00000375080	0.0007154987590253056
9606.ENSP00000418447	0.0007151809524681352
9606.ENSP00000300873	0.0007130510971236157
9606.ENSP00000293780	0.0007100371434506113
9606.ENSP00000294016	0.000708451758018097
9606.ENSP00000286355	0.0007047387980526409
9606.ENSP00000254235	0.0007035668617068623
9606.ENSP00000419361	0.0007034796863958137
9606.ENSP00000311405	0.0007030953806117623
9606.ENSP00000342952	0.0007030952119178042
9606.ENSP00000312126	0.0007030908973687552
9606.ENSP00000300061	0.000695469229306094
9606.ENSP00000353292	0.0006952836416629082
9606.ENSP00000261461	0.000685406771582833
9606.ENSP00000345751	0.0006795458915735022
9606.ENSP00000309148	0.0006765401876321
9606.ENSP00000265080	0.0006655475917373442
9606.ENSP00000359643	0.0006612430176132495
9606.ENSP00000384665	0.0006612141112791209
9606.ENSP00000327875	0.0006611016542503598
9606.ENSP00000390423	0.0006514924980109088
9606.ENSP00000371037	0.0006514914860570443
9606.ENSP00000256343	0.0006514695923977031
9606.ENSP00000386962	0.0006514026004760349
9606.ENSP00000282611	0.0006513997947186047
9606.ENSP00000351755	0.0006512335105560065
9606.ENSP00000355627	0.0006508926067107098
9606.ENSP00000355637	0.0006470821268058428
9606.ENSP00000304290	0.0006362744730137528
9606.ENSP00000466420	0.0006354085120114644
9606.ENSP00000351885	0.0006350384770788206
9606.ENSP00000299989	0.0006336881704478176
9606.ENSP00000257905	0.0006333334067255386
9606.ENSP00000368688	0.0006325574411851064
9606.ENSP00000309052	0.0006277858923459998
9606.ENSP00000434939	0.000625702044313447
9606.ENSP00000297323	0.0006232245252087794
9606.ENSP00000342136	0.0006197360107598202
9606.ENSP00000348918	0.0006170206652544684
9606.ENSP00000216629	0.0006126981545034809
9606.ENSP00000307713	0.0006123896112031537
9606.ENSP00000420194	0.0006110832811442072
9606.ENSP00000332225	0.0006108219201549165
